标准指标名,指标分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,TT-Advertiser,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Campaign,FB-AdSet,FB-Ad
cost_per_current_model_attributed_conversion,Conversions,-,cost_per_current_model_attributed_conversion,cost_per_current_model_attributed_conversion,cost_per_current_model_attributed_conversion,cost_per_current_model_attributed_conversion,-,-,-,-,-,-,-,-,-,-,-,-
conversions_value_by_conversion_date,Conversions,-,conversions_value_by_conversion_date,conversions_value_by_conversion_date,conversions_value_by_conversion_date,conversions_value_by_conversion_date,-,-,-,-,-,-,-,-,-,-,-,-
all_conversions_by_conversion_date,Conversions,-,all_conversions_by_conversion_date,all_conversions_by_conversion_date,all_conversions_by_conversion_date,all_conversions_by_conversion_date,-,-,-,-,-,-,-,-,-,-,-,-
biddable_app_install_conversions,Conversions,-,biddable_app_install_conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
biddable_app_post_install_conversions,Conversions,-,biddable_app_post_install_conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
biddable_cohort_app_post_install_conversions,Conversions,-,biddable_cohort_app_post_install_conversions,biddable_cohort_app_post_install_conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-
platform_comparable_conversions,Conversions,-,platform_comparable_conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
platform_comparable_conversions_value,Conversions,-,platform_comparable_conversions_value,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cost_per_platform_comparable_conversion,Conversions,-,cost_per_platform_comparable_conversion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
results_conversions_purchase,Conversions,-,results_conversions_purchase,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sk_ad_network_total_conversions,Conversions,-,sk_ad_network_total_conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
all_conversions_from_click_to_call,Conversions,-,all_conversions_from_click_to_call,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
all_conversions_from_directions,Conversions,-,all_conversions_from_directions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
all_conversions_from_location_asset_store_visits,Conversions,-,all_conversions_from_location_asset_store_visits,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
