标准维度名,维度分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,GG-CampaignTargeting,GG-ConversionAction,TT-Account,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Account,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Account,FB-Campaign,FB-AdSet,FB-Ad
keyword_top_of_page_cpc_micros,Keyword,-,-,-,-,top_of_page_cpc_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
search_term,Search Query,-,-,-,-,-,search_term,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
search_term_status,Search Query,-,-,-,-,-,search_term_status,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geo_location_type,Geographic,-,-,-,-,-,-,location_type,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geo_country_criterion_id,Geographic,-,-,-,-,-,-,country_criterion_id,-,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_type,Campaign Targeting,-,-,-,-,-,-,-,type,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_negative,Campaign Targeting,-,-,-,-,-,-,-,negative,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_bid_modifier,Campaign Targeting,-,-,-,-,-,-,-,bid_modifier,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_device_type,Campaign Targeting,-,-,-,-,-,-,-,device_type,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_location,Campaign Targeting,-,-,-,-,-,-,-,location_geo_target_constant,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_age_range,Campaign Targeting,-,-,-,-,-,-,-,age_range_type,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_gender,Campaign Targeting,-,-,-,-,-,-,-,gender_type,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_language,Campaign Targeting,-,-,-,-,-,-,-,language_language_constant,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_user_interest,Campaign Targeting,-,-,-,-,-,-,-,user_interest_user_interest_category,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_user_list,Campaign Targeting,-,-,-,-,-,-,-,user_list_user_list,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_keyword_text,Campaign Targeting,-,-,-,-,-,-,-,keyword_text,-,-,-,-,-,-,-,-,-,-,-,-,-
criterion_keyword_match_type,Campaign Targeting,-,-,-,-,-,-,-,keyword_match_type,-,-,-,-,-,-,-,-,-,-,-,-,-
conversion_action_id,Conversion Action,-,-,-,-,-,-,-,-,id,-,-,-,-,-,-,-,-,-,-,-,-
conversion_action_name,Conversion Action,-,-,-,-,-,-,-,-,name,-,-,-,-,-,-,-,-,-,-,-,-
conversion_action_type,Conversion Action,-,-,-,-,-,-,-,-,type,-,-,-,-,-,-,-,-,-,-,-,-
conversion_action_category,Conversion Action,-,-,-,-,-,-,-,-,category,-,-,-,-,-,-,-,-,-,-,-,-
conversion_action_status,Conversion Action,-,-,-,-,-,-,-,-,status,-,-,-,-,-,-,-,-,-,-,-,-
conversion_counting_type,Conversion Action,-,-,-,-,-,-,-,-,counting_type,-,-,-,-,-,-,-,-,-,-,-,-
attribution_model,Conversion Action,-,-,-,-,-,-,-,-,attribution_model_settings_attribution_model,-,-,-,-,-,-,-,-,-,-,-,-
conversion_click_through_lookback_days,Conversion Action,-,-,-,-,-,-,-,-,click_through_lookback_window_days,-,-,-,-,-,-,-,-,-,-,-,-
