标准指标名,中文名,指标分组,GG-Account,GG-Campaign,GG-AdGroup,GG-Ad,GG-Keyword,GG-SearchQuery,GG-Geographic,TT-Advertiser,TT-Campaign,TT-AdGroup,TT-Ad,AMZ-Campaign,AMZ-AdGroup,AMZ-Ad,FB-Campaign,FB-AdSet,FB-Ad
cross_sell_revenue_micros,交叉销售营收,Shopping & Revenue,-,cross_sell_revenue_micros,cross_sell_revenue_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cross_sell_gross_profit_micros,交叉销售毛利润,Shopping & Revenue,-,cross_sell_gross_profit_micros,cross_sell_gross_profit_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cross_sell_units_sold,交叉销售件数,Shopping & Revenue,-,cross_sell_units_sold,cross_sell_units_sold,-,-,-,-,-,-,-,-,-,-,-,-,-,-
onsite_shopping,站内购物量,Shopping & Revenue,-,-,-,-,-,-,-,onsite_shopping,onsite_shopping,onsite_shopping,onsite_shopping,-,-,-,-,-,-
onsite_total_purchase_value,站内总购买价值,Shopping & Revenue,-,-,-,-,-,-,-,onsite_total_purchase_value,onsite_total_purchase_value,onsite_total_purchase_value,onsite_total_purchase_value,-,-,-,-,-,-
sk_ad_network_installs,SKAdNetwork安装量,SKAdNetwork,-,sk_ad_network_installs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
historical_quality_score,历史质量得分,Quality,-,-,-,-,historical_quality_score,-,-,-,-,-,-,-,-,-,-,-,-
historical_creative_quality_score,历史创意质量得分,Quality,-,-,-,-,historical_creative_quality_score,-,-,-,-,-,-,-,-,-,-,-,-
historical_landing_page_quality_score,历史落地页质量得分,Quality,-,-,-,-,historical_landing_page_quality_score,-,-,-,-,-,-,-,-,-,-,-,-
historical_search_predicted_ctr,历史搜索预测点击率,Quality,-,-,-,-,historical_search_predicted_ctr,-,-,-,-,-,-,-,-,-,-,-,-
percent_new_visitors,新访客占比,Other,-,percent_new_visitors,percent_new_visitors,percent_new_visitors,percent_new_visitors,-,-,-,-,-,-,-,-,-,-,-,-
new_customer_lifetime_value,新客户生命周期价值,Other,-,new_customer_lifetime_value,new_customer_lifetime_value,new_customer_lifetime_value,-,-,-,-,-,-,-,-,-,-,-,-,-
all_new_customer_lifetime_value,全部新客户生命周期价值,Other,-,all_new_customer_lifetime_value,all_new_customer_lifetime_value,all_new_customer_lifetime_value,-,-,-,-,-,-,-,-,-,-,-,-,-
average_impression_frequency_per_user,人均展示频次,Other,-,average_impression_frequency_per_user,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
unique_users,唯一用户数,Other,-,unique_users,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
average_target_cpa_micros,平均目标CPA,Other,-,average_target_cpa_micros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
average_target_roas,平均目标ROAS,Other,-,average_target_roas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
optimization_score_uplift,优化得分提升空间,Other,-,optimization_score_uplift,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
optimization_score_url,优化建议链接,Other,-,optimization_score_url,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
shop_total_items_purchased,商店总购买商品数,Other,-,-,-,-,-,-,-,shop_total_items_purchased,shop_total_items_purchased,shop_total_items_purchased,shop_total_items_purchased,-,-,-,-,-,-
app_event_add_to_cart,加入购物车事件量,Other,-,-,-,-,-,-,-,app_event_add_to_cart,app_event_add_to_cart,app_event_add_to_cart,app_event_add_to_cart,-,-,-,-,-,-
complete_payment_roas,完成支付广告支出回报率,Other,-,-,-,-,-,-,-,complete_payment_roas,complete_payment_roas,complete_payment_roas,complete_payment_roas,-,-,-,-,-,-
value_per_complete_payment,每次完成支付价值,Other,-,-,-,-,-,-,-,value_per_complete_payment,value_per_complete_payment,value_per_complete_payment,value_per_complete_payment,-,-,-,-,-,-
total_fee,总费用,Amazon Fee,-,-,-,-,-,-,-,-,-,-,-,totalFee,totalFee,totalFee,-,-,-
agency_fee,代理费,Amazon Fee,-,-,-,-,-,-,-,-,-,-,-,agencyFee,agencyFee,agencyFee,-,-,-
dpv_views_14d,详情页浏览量(14天),Amazon DPV,-,-,-,-,-,-,-,-,-,-,-,dpvViews14d,dpvViews14d,dpvViews14d,-,-,-
total_detail_page_views_14d,总详情页浏览量(14天),Amazon DPV,-,-,-,-,-,-,-,-,-,-,-,totalDetailPageViews14d,totalDetailPageViews14d,totalDetailPageViews14d,-,-,-
total_add_to_cart_14d,加入购物车量(14天),Amazon Cart,-,-,-,-,-,-,-,-,-,-,-,totalAddToCart14d,totalAddToCart14d,totalAddToCart14d,-,-,-
total_add_to_list_14d,加入列表量(14天),Amazon Cart,-,-,-,-,-,-,-,-,-,-,-,totalAddToList14d,totalAddToList14d,totalAddToList14d,-,-,-
total_purchases_14d,总购买量(14天),Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,totalPurchases14d,totalPurchases14d,totalPurchases14d,-,-,-
total_purchase_rate_14d,总购买率(14天),Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,totalPurchaseRate14d,totalPurchaseRate14d,totalPurchaseRate14d,-,-,-
total_sales_14d,总销售额(14天),Amazon Sales,-,-,-,-,-,-,-,-,-,-,-,totalSales14d,totalSales14d,totalSales14d,-,-,-
total_units_sold_14d,总销售件数(14天),Amazon Sales,-,-,-,-,-,-,-,-,-,-,-,totalUnitsSold14d,totalUnitsSold14d,totalUnitsSold14d,-,-,-
ntb_purchases_14d,品牌新客购买量(14天),Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,newToBrandPurchases14d,newToBrandPurchases14d,newToBrandPurchases14d,-,-,-
ntb_purchase_rate_14d,品牌新客购买率(14天),Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,newToBrandPurchaseRate14d,newToBrandPurchaseRate14d,newToBrandPurchaseRate14d,-,-,-
measurable_impressions,可衡量展示量,Amazon Viewability,-,-,-,-,-,-,-,-,-,-,-,measurableImpressions,measurableImpressions,measurableImpressions,-,-,-
viewable_impressions,可见展示量,Amazon Viewability,-,-,-,-,-,-,-,-,-,-,-,viewableImpressions,viewableImpressions,viewableImpressions,-,-,-
viewability_rate,可见率,Amazon Viewability,-,-,-,-,-,-,-,-,-,-,-,viewabilityRate,viewabilityRate,viewabilityRate,-,-,-
video_started,视频开始播放量,Video,-,-,-,-,-,-,-,-,-,-,-,videoStarted,videoStarted,videoStarted,-,-,-
purchases_1d,购买量(1天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,purchases1d,purchases1d,purchases1d,-,-,-
purchases_7d,购买量(7天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,purchases7d,purchases7d,purchases7d,-,-,-
purchases_14d,购买量(14天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,purchases14d,purchases14d,purchases14d,-,-,-
purchases_30d,购买量(30天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,purchases30d,purchases30d,purchases30d,-,-,-
sales_1d,销售额(1天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,sales1d,sales1d,sales1d,-,-,-
sales_7d,销售额(7天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,sales7d,sales7d,sales7d,-,-,-
sales_14d,销售额(14天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,sales14d,sales14d,sales14d,-,-,-
sales_30d,销售额(30天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,sales30d,sales30d,sales30d,-,-,-
add_to_cart,加入购物车量,Conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:add_to_cart,actions:add_to_cart,actions:add_to_cart
initiate_checkout,发起结账量,Conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:initiate_checkout,actions:initiate_checkout,actions:initiate_checkout
view_content,内容浏览量,Conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:view_content,actions:view_content,actions:view_content
lead,线索量,Conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:lead,actions:lead,actions:lead
video_play_actions,视频播放量,Video,-,-,-,-,-,-,-,-,-,-,-,-,-,-,video_play_actions,video_play_actions,video_play_actions
video_watched_2s,视频2秒观看量,Video,-,-,-,-,-,-,-,-,-,-,-,-,-,-,video_continuous_2_sec_watched_actions,video_continuous_2_sec_watched_actions,video_continuous_2_sec_watched_actions
video_thruplay,ThruPlay视频观看量,Video,-,-,-,-,-,-,-,-,-,-,-,-,-,-,video_thruplay_watched_actions,video_thruplay_watched_actions,video_thruplay_watched_actions
video_30_sec_watched,视频30秒观看量,Video,-,-,-,-,-,-,-,-,-,-,-,-,-,-,video_30_sec_watched_actions,video_30_sec_watched_actions,video_30_sec_watched_actions
cpp,千人触达成本,Core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cpp,cpp,cpp
unique_clicks,独立点击量,Core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unique_clicks,unique_clicks,unique_clicks
unique_ctr,独立点击率,Core,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unique_ctr,unique_ctr,unique_ctr
inline_link_clicks,链接点击量,Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,inline_link_clicks,inline_link_clicks,inline_link_clicks
inline_post_engagement,帖子互动量,Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,inline_post_engagement,inline_post_engagement,inline_post_engagement
post_engagement,帖子互动量(action),Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:post_engagement,actions:post_engagement,actions:post_engagement
page_engagement,主页互动量,Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:page_engagement,actions:page_engagement,actions:page_engagement
link_click,链接点击量(action),Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:link_click,actions:link_click,actions:link_click
landing_page_view,落地页浏览量,Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,actions:landing_page_view,actions:landing_page_view,actions:landing_page_view
cost_per_thruplay,ThruPlay单次费用,FB Video Cost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cost_per_thruplay,cost_per_thruplay,cost_per_thruplay
cost_per_inline_link_click,链接点击单次费用,FB Click Cost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cost_per_inline_link_click,cost_per_inline_link_click,cost_per_inline_link_click
cost_per_outbound_click,外链点击单次费用,FB Click Cost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cost_per_outbound_click,cost_per_outbound_click,cost_per_outbound_click
cost_per_unique_click,独立点击单次费用,FB Click Cost,-,-,-,-,-,-,-,-,-,-,-,-,-,-,cost_per_unique_click,cost_per_unique_click,cost_per_unique_click
outbound_clicks,外链点击量,FB Click,-,-,-,-,-,-,-,-,-,-,-,-,-,-,outbound_clicks,outbound_clicks,outbound_clicks
social_spend,社交花费,FB Engagement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,social_spend,social_spend,social_spend
website_purchase_roas,网站购买ROAS,FB ROAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,website_purchase_roas,website_purchase_roas,website_purchase_roas
canvas_avg_view_percent,即时体验平均浏览百分比,FB Canvas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,canvas_avg_view_percent,canvas_avg_view_percent,canvas_avg_view_percent
quality_ranking,质量排名,FB Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,quality_ranking,quality_ranking,quality_ranking
engagement_rate_ranking,互动率排名,FB Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,engagement_rate_ranking,engagement_rate_ranking,engagement_rate_ranking
conversion_rate_ranking,转化率排名,FB Quality,-,-,-,-,-,-,-,-,-,-,-,-,-,-,conversion_rate_ranking,conversion_rate_ranking,conversion_rate_ranking
dpv_clicks_14d,详情页点击量(14天),Amazon DPV,-,-,-,-,-,-,-,-,-,-,-,dpvClicks14d,dpvClicks14d,dpvClicks14d,-,-,-
total_add_to_cart_clicks_14d,加购点击归因(14天),Amazon Cart,-,-,-,-,-,-,-,-,-,-,-,totalAddToCartClicks14d,totalAddToCartClicks14d,totalAddToCartClicks14d,-,-,-
total_add_to_cart_views_14d,加购浏览归因(14天),Amazon Cart,-,-,-,-,-,-,-,-,-,-,-,totalAddToCartViews14d,totalAddToCartViews14d,totalAddToCartViews14d,-,-,-
total_purchases_clicks_14d,购买点击归因(14天),Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,totalPurchasesClicks14d,totalPurchasesClicks14d,totalPurchasesClicks14d,-,-,-
total_purchases_views_14d,购买浏览归因(14天),Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,totalPurchasesViews14d,totalPurchasesViews14d,totalPurchasesViews14d,-,-,-
purchases_clicks_14d,推广商品购买点击归因(14天),Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,purchasesClicks14d,purchasesClicks14d,purchasesClicks14d,-,-,-
purchases_views_14d,推广商品购买浏览归因(14天),Amazon Purchase,-,-,-,-,-,-,-,-,-,-,-,purchasesViews14d,purchasesViews14d,purchasesViews14d,-,-,-
units_sold_14d,推广商品销售件数(14天),Amazon Sales,-,-,-,-,-,-,-,-,-,-,-,unitsSold14d,unitsSold14d,unitsSold14d,-,-,-
ntb_purchases_clicks_14d,品牌新客购买点击归因(14天),Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,newToBrandPurchasesClicks14d,newToBrandPurchasesClicks14d,newToBrandPurchasesClicks14d,-,-,-
ntb_purchases_views_14d,品牌新客购买浏览归因(14天),Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,newToBrandPurchasesViews14d,newToBrandPurchasesViews14d,newToBrandPurchasesViews14d,-,-,-
ntb_ecpp_14d,品牌新客每次购买成本(14天),Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,newToBrandEcpp14d,newToBrandEcpp14d,newToBrandEcpp14d,-,-,-
total_ntb_purchases_14d,总品牌新客购买量(14天),Amazon NTB,-,-,-,-,-,-,-,-,-,-,-,totalNewToBrandPurchases14d,totalNewToBrandPurchases14d,totalNewToBrandPurchases14d,-,-,-
new_subscribe_and_save_14d,新订阅省(14天),Amazon Subscribe,-,-,-,-,-,-,-,-,-,-,-,newSubscribeAndSave14d,newSubscribeAndSave14d,newSubscribeAndSave14d,-,-,-
total_subscribe_and_save_14d,总订阅省(14天),Amazon Subscribe,-,-,-,-,-,-,-,-,-,-,-,totalSubscribeAndSave14d,totalSubscribeAndSave14d,totalSubscribeAndSave14d,-,-,-
brand_search_14d,品牌搜索量(14天),Amazon Brand,-,-,-,-,-,-,-,-,-,-,-,brandSearch14d,brandSearch14d,brandSearch14d,-,-,-
brand_search_clicks_14d,品牌搜索点击归因(14天),Amazon Brand,-,-,-,-,-,-,-,-,-,-,-,brandSearchClicks14d,brandSearchClicks14d,brandSearchClicks14d,-,-,-
brand_search_views_14d,品牌搜索浏览归因(14天),Amazon Brand,-,-,-,-,-,-,-,-,-,-,-,brandSearchViews14d,brandSearchViews14d,brandSearchViews14d,-,-,-
units_sold_1d,销售件数(1天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,unitsSold1d,unitsSold1d,unitsSold1d,-,-,-
units_sold_7d,销售件数(7天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,unitsSold7d,unitsSold7d,unitsSold7d,-,-,-
units_sold_14d_sp,销售件数(14天归因-SP),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,unitsSold14d,unitsSold14d,unitsSold14d,-,-,-
units_sold_30d,销售件数(30天归因),Amazon Attribution,-,-,-,-,-,-,-,-,-,-,-,unitsSold30d,unitsSold30d,unitsSold30d,-,-,-
kindle_pages_read_14d,Kindle页面阅读量(14天),Amazon Kindle,-,-,-,-,-,-,-,-,-,-,-,kindleEditionNormalizedPagesRead14d,kindleEditionNormalizedPagesRead14d,kindleEditionNormalizedPagesRead14d,-,-,-
kindle_pages_royalties_14d,Kindle版税(14天),Amazon Kindle,-,-,-,-,-,-,-,-,-,-,-,kindleEditionNormalizedPagesRoyalties14d,kindleEditionNormalizedPagesRoyalties14d,kindleEditionNormalizedPagesRoyalties14d,-,-,-
